"","Nombre","Marca","Precio","Supermercado","Hora","unidad","precio_unidad","Categoria","Subcategoria","Estado"
"1","Aciete oliva virgen extra la española spray 200ml","LA ESPAÑOLA",3.69,"Supermercados Mas",11784,"LITRO",18.45,"Aceite de oliva virgen extra","Aciete oliva virgen extra la española spray 200ml","Añadir"
"2","Sepia limpia pescanova 400gr","PESCANOVA",6.49,"Supermercados Mas",11785,"KILO",16.22,"Calamares y otros cefalópodos","Sepia limpia pescanova 400gr","Añadir"
"3","Insecticida cucarachas cucal aerosol 400ml","CUCAL",5.09,"Supermercados Mas",11787,"LITRO",12.72,"Para cucarachas","Insecticida cucarachas cucal aerosol 400ml","Añadir"
"4","Dolce gusto café espresso intenso 48caps","DOLCE GUSTO",11.99,"Supermercados Mas",11789,"UNIDAD",0.25,"Cápsulas y monodosis","Dolce gusto café espresso intenso 48caps","Añadir"
"5","Vino dulce matipe cruz conde pet 2l","CRUZ CONDE",4.75,"Supermercados Mas",11790,"LITRO",2.38,"Montilla-Moriles","Vino dulce matipe cruz conde pet 2l","Añadir"
"6","Alcohol 96 ifa unnia 250ml","IFA UNNIA",0.75,"Supermercados Mas",11791,"100ml",0.3,"Alcohol y agua oxigenada","Alcohol 96 ifa unnia 250ml","Añadir"
"7","Tarrito lenguado bechamel hero 235g","HERO",1.7,"Supermercados Mas",11793,"KILO",7.23,"Potitos de pescado","Tarrito lenguado bechamel hero 235g","Añadir"
"8","Refresco cola zero zero ifa eliges pet 2l","IFA ELIGES",0.7,"Supermercados Mas",11794,"LITRO",0.35,"De cola","Refresco cola zero zero ifa eliges pet 2l","Añadir"
"9","Zumo limon exprimido ifa eliges 280ml","IFA ELIGES",1,"Supermercados Mas",11796,"LITRO",3.57,"Aderezo de limón y otros aliños","Zumo limon exprimido ifa eliges 280ml","Añadir"
"10","Toallitas húmedas adulto con tapa ifa unnia 100 unidades","IFA SABE",1.55,"Supermercados Mas",11797,"UNIDAD",0.02,"Papel higiénico","Toallitas húmedas adulto con tapa ifa unnia 100 unidades","Añadir"
"11","Algodón zigzag ifaunnia 100g","IFA UNNIA",0.89,"Supermercados Mas",11798,"100g",0.89,"Apósitos, gasas y vendas","Algodón zigzag ifaunnia 100g","Añadir"
"12","Galleta barquillo leche avellana knopper p3x25g","KNOPPERS",1.5,"Supermercados Mas",11800,"KILO",20,"Otras galletas","Galleta barquillo leche avellana knopper p3x25g","Añadir"
"13","Galleta cacao rellenas crema ifa eliges 176g","IFA ELIGES",0.6,"Supermercados Mas",11801,"KILO",3.41,"Galletas rellenas","Galleta cacao rellenas crema ifa eliges 176g","Añadir"
"14","Sobao alargado ifa eliges bolsa 18ud 400g","IFA ELIGES",1.75,"Supermercados Mas",11802,"KILO",4.38,"Magdalenas y sobaos","Sobao alargado ifa eliges bolsa 18ud 400g","Añadir"
"15","Pate crema jamon york iberitos p4x25gr","IBERITOS",1.29,"Supermercados Mas",11803,"KILO",12.9,"Paté","Pate crema jamon york iberitos p4x25gr","Añadir"
"16","Pepinillos medianos rioverde tarro 380g","RIOVERDE",2.29,"Supermercados Mas",11805,"KILO",6.03,"Pepinillos y otros encurtidos","Pepinillos medianos rioverde tarro 380g","Añadir"
"17","Cereales con chocolate negro nestle fitness 375g","NESTLE FITNESS",2.8,"Supermercados Mas",11806,"KILO",7.47,"Cereales integrales y muesli","Cereales con chocolate negro nestle fitness 375g","Añadir"
"18","Nachos mexicanos zanuy 220g","ZANUY",1.29,"Supermercados Mas",11807,"KILO",6.45,"Cortezas, fritos y otros snacks","Nachos mexicanos zanuy 220g","Añadir"
"19","Almendra largueta tostadas ifa eliges 200g","IFA ELIGES",2.8,"Supermercados Mas",11809,"KILO",14,"Almendras y avellanas","Almendra largueta tostadas ifa eliges 200g","Añadir"
"20","Cacao en polvo puro sin azúcar valor 250gr","VALOR",4.29,"Supermercados Mas",11810,"KILO",17.16,"Chocolate a la taza","Cacao en polvo puro sin azúcar valor 250gr","Añadir"
"21","Yogur 0% materia grasa edulcorado reina 500g","REINA",1.69,"Supermercados Mas",11811,"KILO",3.38,"Desnatados","Yogur 0% materia grasa edulcorado reina 500g","Añadir"
"22","Salteado tradicional verdura ifa eliges 450g","IFA ELIGES",1.12,"Supermercados Mas",11812,"KILO",2.49,"Verduras preparadas y salteados","Salteado tradicional verdura ifa eliges 450g","Añadir"
"23","Vino rioja tinto ramon bilbao crianza 75cl","RAMON BILBAO",8.99,"Supermercados Mas",11813,"LITRO",11.99,"D.O. Rioja","Vino rioja tinto ramon bilbao crianza 75cl","Añadir"
"24","Fideos de chocolate carmencita en tarro de cristal 75 g","CARMENCITA",2.05,"Supermercados Mas",11814,"KILO",27.33,"Adornos, aromas y coberturas","Fideos de chocolate carmencita en tarro de cristal 75 g","Añadir"
"25","Caramelos menta smint unit 8g","SMINT",1.75,"Supermercados Mas",11816,"KILO",218.75,"Caramelos","Caramelos menta smint unit 8g","Añadir"
"26","Muffin mini chips mr brownie p15x 15g","MR BROWNIE",2.15,"Supermercados Mas",11817,"KILO",9.56,"Magdalenas y sobaos","Muffin mini chips mr brownie p15x 15g","Añadir"
"27","Piccolinis con frankfurt buitoni 360g","BUITONI",3.65,"Supermercados Mas",11818,"KILO",10.14,"Mini pizzas","Piccolinis con frankfurt buitoni 360g","Añadir"
"28","Regaliz palo nata-fresa ifa eliges 320g","IFA ELIGES",1.7,"Supermercados Mas",11820,"KILO",5.31,"Golosinas","Regaliz palo nata-fresa ifa eliges 320g","Añadir"
"29","Anchoa aceite de girasol caprimar t100 55g ne","CAPRIMAR",1.99,"Supermercados Mas",11821,"KILO",36.18,"Anchoas","Anchoa aceite de girasol caprimar t100 55g ne","Añadir"
"30","Crema yogur natural con chocobolas reina p-2x125g","REINA",1.59,"Supermercados Mas",11822,"KILO",6.36,"Naturales","Crema yogur natural con chocobolas reina p-2x125g","Añadir"
"31","Salsa gaucha ybarra pet 300ml","YBARRA",1.95,"Supermercados Mas",11824,"LITRO",6.5,"Rosa, brava y barbacoa","Salsa gaucha ybarra pet 300ml","Añadir"
"32","Cafe capuccino natural ifa eliges 250gr","IFA ELIGES",2.7,"Supermercados Mas",11825,"KILO",10.8,"Café soluble","Cafe capuccino natural ifa eliges 250gr","Añadir"
"33","Bebida light soja ifa eliges brick 1l","IFA ELIGES",0.8,"Supermercados Mas",11827,"LITRO",0.8,"De soja","Bebida light soja ifa eliges brick 1l","Añadir"
"34","Snack nutripuff maiz nestle 28g","NESTLE",1.89,"Supermercados Mas",11828,"KILO",67.5,"Cortezas, fritos y otros snacks","Snack nutripuff maiz nestle 28g","Añadir"
"35","Edulcorante natreen liquido 250ml","NATREEN",4.79,"Supermercados Mas",11830,"LITRO",19.16,"Edulcorantes y otros","Edulcorante natreen liquido 250ml","Añadir"
"36","Aceituna manzanilla rodaja ifa eliges tarro","IFA ELIGES",0.85,"Supermercados Mas",11831,"KILO",8.1,"Aceitunas","Aceituna manzanilla rodaja ifa eliges tarro","Añadir"
"37","Altramuces saladitos tarrina 250g","SALADITOS",1.1,"Supermercados Mas",11832,"KILO",4.4,"Almendras y avellanas","Altramuces saladitos tarrina 250g","Añadir"
"38","Tomate entero pelado martinete 1k 480g ne","MARTINETE",1.5,"Supermercados Mas",11834,NA,NA,"Tomates","Tomate entero pelado martinete 1k 480g ne","Añadir"
"39","Mayonesa ybarra 225ml","YBARRA",1.4,"Supermercados Mas",11835,"LITRO",6.22,"Mayonesa y alioli","Mayonesa ybarra 225ml","Añadir"
"40","Guisante finos bonduelle p3x140g ne","BONDUELLE",3.59,"Supermercados Mas",11837,"KILO",8.55,"Guisantes","Guisante finos bonduelle p3x140g ne","Añadir"
"41","Yogur natural oikos p-4x110g","OIKOS",2.79,"Supermercados Mas",11837,"KILO",6.34,"Griegos y cremosos","Yogur natural oikos p-4x110g","Añadir"
"42","Refresco naranja fanta pet 1,25l","FANTA",1.25,"Supermercados Mas",11839,"LITRO",1,"De naranja","Refresco naranja fanta pet 1,25l","Añadir"
"43","Caramelo halloween con palo chupa chups bolsa 30ud","CHUPA CHUPS",3.29,"Supermercados Mas",11840,"KILO",18.28,"Caramelos","Caramelo halloween con palo chupa chups bolsa 30ud","Añadir"
"44","Vino d.o rioja blanco el coto, 75cl","COTO",4.15,"Supermercados Mas",11841,"LITRO",5.53,"D.O. Rioja","Vino d.o rioja blanco el coto, 75cl","Añadir"
"45","Infusion hinojo pompadour 20 sobres","POMPADOUR",2.79,"Supermercados Mas",11842,"UNIDAD",0.14,"Otras infusiones","Infusion hinojo pompadour 20 sobres","Añadir"
"46","Caldo liquido cocido gallo 1l","GALLO",1.99,"Supermercados Mas",11843,"LITRO",1.99,"Caldos líquidos","Caldo liquido cocido gallo 1l","Añadir"
"47","Salsa yogurt ybarra pet 250ml","YBARRA",2.2,"Supermercados Mas",11845,"LITRO",8.8,"Otras salsas","Salsa yogurt ybarra pet 250ml","Añadir"
"48","Minitostas normales ortiz 100g","ORTIZ",1.99,"Supermercados Mas",11846,"KILO",19.9,"Pan tostado, biscotes y picatostes","Minitostas normales ortiz 100g","Añadir"
"49","Orejones de albaricoque ifa eliges 200g","IFA ELIGES",2.6,"Supermercados Mas",11847,"KILO",13,"Otros frutos secos","Orejones de albaricoque ifa eliges 200g","Añadir"
"50","Natillas vainilla ifa eliges p4x125g","IFA ELIGES",1.05,"Supermercados Mas",11848,"KILO",2.1,"Natillas","Natillas vainilla ifa eliges p4x125g","Añadir"
"51","Pasta macarron sin gluten gallo 450g","GALLO",1.83,"Supermercados Mas",11849,"KILO",4.07,"Otras pastas y especialidades","Pasta macarron sin gluten gallo 450g","Añadir"
"52","Yogur con fresas activia p-4x120g","ACTIVIA",2.99,"Supermercados Mas",11850,"KILO",6.23,"Con sabores y frutas","Yogur con fresas activia p-4x120g","Añadir"
"53","Patatas fritas sour cream pringles lata 70g","PRINGLES",1.2,"Supermercados Mas",11852,"KILO",17.14,"Patatas fritas","Patatas fritas sour cream pringles lata 70g","Añadir"
"54","Cerveza amstel oro lata 33cl","AMSTEL ORO",0.82,"Supermercados Mas",11853,"LITRO",2.48,"Artesanas y especiales","Cerveza amstel oro lata 33cl","Añadir"
"55","Chocolate puro valor 300g","VALOR",3.8,"Supermercados Mas",11854,"KILO",12.67,"Chocolate negro","Chocolate puro valor 300g","Añadir"
"56","Vinagre de vino blanco ifa eliges 1l","IFA ELIGES",0.7,"Supermercados Mas",11855,"LITRO",0.69,"Vinagre de vino","Vinagre de vino blanco ifa eliges 1l","Añadir"
"57","Croquetas sin gluten jamon maheso 300g","MAHESO",3.85,"Supermercados Mas",11857,"KILO",12.83,"Croquetas","Croquetas sin gluten jamon maheso 300g","Añadir"
"58","Aceituna rellena de anchoa manzanilla jolca p3x120gr","JOLQUITA",2.99,"Supermercados Mas",11858,"KILO",8.31,"Aceitunas","Aceituna rellena de anchoa manzanilla jolca p3x120gr","Añadir"
"59","Gominolas cinema mix mix fini 180g","FINI",2.29,"Supermercados Mas",11859,"KILO",12.72,"Golosinas","Gominolas cinema mix mix fini 180g","Añadir"
"60","Aperitivo torcidas de maiz ifa eliges 100g","IFA ELIGES",0.8,"Supermercados Mas",11860,"KILO",8,"Cortezas, fritos y otros snacks","Aperitivo torcidas de maiz ifa eliges 100g","Añadir"
"61","Cereales muesli crujiente con chocolate ifa eliges 500g","IFA ELIGES",2.1,"Supermercados Mas",11861,"KILO",4.2,"Cereales integrales y muesli","Cereales muesli crujiente con chocolate ifa eliges 500g","Añadir"
"62","Cerveza molen bier botella 1l","MOLEN BIER",1.05,"Supermercados Mas",11862,"LITRO",1.05,"Rubias","Cerveza molen bier botella 1l","Añadir"
"63","Chocolate negro 70% almendra valor 250g","VALOR",4.15,"Supermercados Mas",11863,"KILO",16.6,"Chocolate con frutos secos","Chocolate negro 70% almendra valor 250g","Añadir"
"64","Rosquillas bombon donuts p4ux52g","DONUTS",2.65,"Supermercados Mas",11865,"KILO",12.74,"Donuts y rosquillas","Rosquillas bombon donuts p4ux52g","Añadir"
"65","Crema cacao 2 sabores ifa eliges 500g","IFA ELIGES",1.95,"Supermercados Mas",11866,"KILO",3.9,"Cremas de untar","Crema cacao 2 sabores ifa eliges 500g","Añadir"
"66","Papel cocina multiusos ifa sabe 2c 1r 132m","IFA SABE",3.15,"Supermercados Mas",11868,"UNIDAD",3.15,"Papel de cocina y servilletas","Papel cocina multiusos ifa sabe 2c 1r 132m","Añadir"
"67","Especias surtidas molidas carmencita 45g","CARMENCITA",2.15,"Supermercados Mas",11869,"100g",4.78,"Especias y sazonadores","Especias surtidas molidas carmencita 45g","Añadir"
"68","Limpiador baño sanytol pistola 750 ml","SANYTOL",2.49,"Supermercados Mas",11870,"LITRO",3.32,"Para baño y antical","Limpiador baño sanytol pistola 750 ml","Añadir"
"69","Eau de parfum caravan n3","CARAVAN",11.99,"Supermercados Mas",11871,"100ml",7.99,"Femeninas","Eau de parfum caravan n3","Añadir"
"70","Comida perro delicicious buey brekkies 7,25k","BREKKIES",22.78,"Supermercados Mas",11872,"KILO",3.14,"Alimentación seca","Comida perro delicicious buey brekkies 7,25k","Añadir"
"71","Gel lubricante original durex 50ml","DUREX",9.99,"Supermercados Mas",11874,"100ml",19.98,"Lubricantes","Gel lubricante original durex 50ml","Añadir"
"72","Calamares tinta calvo ro80 p3x52g ne","CALVO",2.45,"Supermercados Mas",11875,"KILO",15.71,"Calamares, chipirones y pulpo","Calamares tinta calvo ro80 p3x52g ne","Añadir"
"73","Tomate nat. troceado ifa eliges lt 240g ne","IFA ELIGES",0.8,"Supermercados Mas",11876,"KILO",2.05,"Tomates","Tomate nat. troceado ifa eliges lt 240g ne","Añadir"
"74","Preservativos placer polongado durex 12ud","DUREX",13.99,"Supermercados Mas",11878,"UNIDAD",1.17,"Preservativos","Preservativos placer polongado durex 12ud","Añadir"
"75","Vino rueda verdejo blanco protos 75cl","PROTOS",7.65,"Supermercados Mas",11879,"LITRO",10.2,"D.O. Rueda","Vino rueda verdejo blanco protos 75cl","Añadir"
